trade_date,Closed PnL,classification,Execution Price,Side,leverage
2025-02-03,3.721095,Fear,18.48,Buy,0.9997938569367141
2025-02-03,11.813,Fear,18.48,Buy,1.0
2025-02-03,11.813,Fear,18.48,Buy,1.0
2025-02-03,11.813,Fear,18.48,Buy,1.0
2025-02-03,11.813,Fear,18.48,Buy,1.0
2025-02-03,283.512,Fear,18.48,Buy,1.0
2025-02-03,11.813,Fear,18.48,Buy,1.0
2025-02-03,11.813,Fear,18.48,Buy,1.0
2025-02-03,11.813,Fear,18.48,Buy,1.0
2025-02-03,831.576135,Fear,18.48,Buy,1.000000307479532
2025-03-03,0.0,Fear,0.8033,Buy,0.9999873238296726
2025-03-03,0.0,Fear,0.8033,Buy,0.9999997014712394
2025-03-03,0.0,Fear,0.8033,Buy,1.0000017488523951
2025-03-03,0.0,Fear,1.923,Buy,1.00000372329929
2025-03-03,0.0,Fear,1.923,Buy,1.0000007094417473
2025-03-03,0.0,Fear,1.923,Buy,1.0000226096000362
2025-03-03,2476.24,Fear,18.434,Buy,0.9999994783885963
2025-03-03,293.874925,Fear,18.434,Buy,1.0000037578842225
2025-03-03,3069.287575,Fear,18.434,Buy,0.9999996401940461
2025-03-03,1651.327035,Fear,18.22,Buy,0.9999992211732336
2025-03-03,208.859355,Fear,18.22,Buy,0.9999977313658444
2025-03-03,61.665,Fear,18.22,Buy,1.0
2025-03-03,80.1645,Fear,18.22,Buy,1.0000000000000002
2025-03-03,2.158275,Fear,18.22,Buy,1.000470440646072
2025-03-03,3083.25,Fear,18.22,Buy,1.0
2025-03-03,6320.600835,Fear,18.22,Buy,1.0000001178025468
2025-04-03,11749.70815,Fear,17.777,Buy,0.9999999082341581
2025-04-03,769.283385,Fear,17.62,Buy,1.0000010982330527
2025-04-03,502.141965,Fear,17.62,Buy,0.9999998470457109
2025-04-03,201.6417,Fear,17.62,Buy,1.000007617944831
2025-04-03,191.965605,Fear,17.62,Buy,1.0000012002895098
2025-04-03,147.983355,Fear,17.62,Buy,1.0000015570285044
2025-04-03,336.70104,Fear,17.62,Buy,0.9999986313419054
2025-04-03,166.252905,Fear,17.62,Buy,0.999992146416664
2025-04-03,1377.25341,Fear,17.62,Buy,0.9999986616011243
2025-04-03,608.646675,Fear,17.62,Buy,1.0000006309470704
2025-04-03,1039.131405,Fear,17.62,Buy,0.9999987434880343
2025-04-03,694.716555,Fear,17.62,Buy,1.0000025427775332
2025-04-03,0.0,Fear,1.822,Buy,1.0
2025-04-03,2535.05571,Fear,17.44,Buy,0.9999994343672429
2025-04-03,281.958435,Fear,17.44,Buy,1.0000005650598622
2025-04-03,1196.32623,Fear,17.44,Buy,1.000001065417713
2025-04-03,2412.172125,Fear,17.44,Buy,0.9999999999999999
2025-04-03,1253.022705,Fear,17.33,Buy,1.0000006174267533
2025-04-03,6.844805,Fear,17.33,Buy,0.9999940511954123
2025-04-03,1813.66163,Fear,17.33,Buy,1.0000007633319405
2025-04-03,1411.3,Fear,17.33,Buy,1.0000000000000002
2025-04-03,2469.775,Fear,17.33,Buy,1.0000000000000002
2025-04-03,20.32272,Fear,17.33,Buy,0.9999919856382637
2025-04-03,6280.355565,Fear,17.33,Buy,0.9999997860459605
2025-04-03,4.51616,Fear,17.33,Buy,0.9998918061165609
2025-04-03,14966.20142,Fear,17.33,Buy,0.9999999918379276
2025-04-03,13735.0525,Fear,17.1,Buy,0.9999999999999999
